pokemon_number,pokemon_name,pokemon_url,pokemon_height,pokemon_weight,pokemon_types
0001,Bulbasaur,https://pokemondb.net/pokedex/bulbasaur,0.7 m (2′04″),6.9 kg (15.2 lbs),"Grass,Poison"
0019,Rattata,https://pokemondb.net/pokedex/rattata,0.3 m (1′00″),3.5 kg (7.7 lbs),"Normal,Dark,Normal"
0022,Fearow,https://pokemondb.net/pokedex/fearow,1.2 m (3′11″),38.0 kg (83.8 lbs),"Normal,Flying"
0020,Raticate,https://pokemondb.net/pokedex/raticate,0.7 m (2′04″),18.5 kg (40.8 lbs),"Normal,Dark,Normal"
0018,Pidgeot,https://pokemondb.net/pokedex/pidgeot,1.5 m (4′11″),39.5 kg (87.1 lbs),"Normal,Flying,Normal,Flying"
0024,Arbok,https://pokemondb.net/pokedex/arbok,3.5 m (11′06″),65.0 kg (143.3 lbs),Poison
0023,Ekans,https://pokemondb.net/pokedex/ekans,2.0 m (6′07″),6.9 kg (15.2 lbs),Poison
0025,Pikachu,https://pokemondb.net/pokedex/pikachu,0.4 m (1′04″),6.0 kg (13.2 lbs),"Electric,Electric"
0017,Pidgeotto,https://pokemondb.net/pokedex/pidgeotto,1.1 m (3′07″),30.0 kg (66.1 lbs),"Normal,Flying"
0016,Pidgey,https://pokemondb.net/pokedex/pidgey,0.3 m (1′00″),1.8 kg (4.0 lbs),"Normal,Flying"
0015,Beedrill,https://pokemondb.net/pokedex/beedrill,1.0 m (3′03″),29.5 kg (65.0 lbs),"Bug,Poison,Bug,Poison"
0128,Tauros,https://pokemondb.net/pokedex/tauros,1.4 m (4′07″),88.4 kg (194.9 lbs),"Normal,Fighting,Fighting,Fire,Fighting,Water"
0216,Teddiursa,https://pokemondb.net/pokedex/teddiursa,0.6 m (2′00″),8.8 kg (19.4 lbs),Normal
0014,Kakuna,https://pokemondb.net/pokedex/kakuna,0.6 m (2′00″),10.0 kg (22.0 lbs),"Bug,Poison"
0013,Weedle,https://pokemondb.net/pokedex/weedle,0.3 m (1′00″),3.2 kg (7.1 lbs),"Bug,Poison"
